"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii","avg_vf_10_iii","avg_vf_10_iv"
"凛として咲く花の如く スプーキィテルミィンミックス","NOVICE","1","1","1249","6","527","16","272","428","1243","1239","1208","1163","1081","1012","890","818","716","644","572","9717270","570963","9635600","9638667","9632708","9708328","9728900","9773483","9819153","9661974","9706054","9675117","9713769","9635267","9783057","9785797","9856053","9890000","9888000","9831081"
"凛として咲く花の如く スプーキィテルミィンミックス","ADVANCED","1","2","2400","193","1322","34","646","205","2388","2374","2249","2137","1897","1670","1338","1133","890","648","443","9568586","648045","9448584","9356553","9537064","9503630","9584842","9554945","9719792","9450910","9460595","9577510","9592820","9563634","9611680","9711815","9537742","9831754","9706916","9675654"
"凛として咲く花の如く スプーキィテルミィンミックス","EXHAUST","1","3","3162","247","972","345","717","881","3146","3130","3026","2958","2816","2658","2438","2263","1950","1603","1261","9742712","586341","9579900","9398386","9611923","9652750","9783990","9821241","9878589","9530097","9672351","9722299","9765134","9747014","9849269","9899726","9890535","9930241","9878369","9920340"
"凛として咲く花の如く スプーキィテルミィンミックス","INFINITE","1","5","2781","28","557","1367","642","187","2781","2781","2773","2760","2698","2607","2396","2169","1582","948","472","9849108","197509","9586680","9541318","9712399","9818105","9884416","9885401","9945972","9649719","9785706","9855807","9878304","9894953","9923757","9936767","9958834","9977590","9976084","9989795"
"Rebellious stage","NOVICE","2","1","327","0","102","4","69","152","326","324","310","303","286","271","253","227","203","176","167","9733582","548950","9438983","9706214","9810951","9670164","9772960","9869703","9831173","9712142","9576271","9761563","9649879","9532309","9816070","9882862","9803390","9723729","9932203","9926907"
"Rebellious stage","ADVANCED","2","2","788","25","447","9","217","90","786","784","676","608","522","452","360","316","237","179","127","9419022","651209","9288598","9313155","9332606","9394667","9480767","9096797","9567445","9297249","9378865","9393370","9426735","9377153","9330111","9638444","9568798","9946705","9922480","9336419"
"Rebellious stage","EXHAUST","2","3","2347","9","496","426","761","655","2347","2345","2321","2295","2238","2161","2061","1952","1682","1362","910","9867012","274394","9693598","9732925","9751366","9816227","9885713","9903780","9929846","9730911","9791469","9857073","9892045","9884016","9913777","9939096","9929083","9914840","9970917","9916816"
"Rebellious stage","INFINITE","2","5","1549","6","255","476","475","337","1548","1548","1544","1540","1517","1484","1423","1349","1113","838","540","9893651","218918","9666064","9517712","9801624","9860281","9910773","9938477","9967476","9725939","9847301","9877639","9907145","9922938","9943019","9968136","9986052","9992998","9992875","9972073"
"Love♡sicK","NOVICE","3","1","297","5","134","1","72","85","297","292","283","270","254","232","200","178","163","126","103","9688642","503946","9648956","9595493","9770531","9606630","9704431","9784419","9885399","9688266","9575617","9568670","9818344","9572692","9613000","9874303","9835723","9829749","9940262","9922555"
"Love♡sicK","ADVANCED","3","2","754","36","518","10","132","58","754","752","691","605","470","342","244","196","149","107","70","9397996","487143","9336107","9226237","9449332","9341407","9449596","9366471","9448622","9315146","9338981","9368772","9385848","9415763","9420280","9534103","9681094","9243003","9839552","9476119"
"Love♡sicK","EXHAUST","3","3","1794","101","580","315","471","327","1793","1793","1748","1638","1492","1369","1266","1181","954","680","438","9709950","419051","9433640","9330113","9502283","9584387","9784589","9763383","9881339","9436635","9569450","9676389","9743782","9788888","9792218","9873646","9883090","9919390","9996225","9917860"
"Love♡Shine わんだふるmix","NOVICE","4","1","400","13","220","1","91","75","400","396","353","310","278","240","217","197","178","127","94","9487410","614081","9473265","9417610","9530547","9390708","9502459","9604452","9654093","9504519","9260888","9374486","9432824","9586874","9447301","9671238","9835420","9685823","9913536","9762969"
"Love♡Shine わんだふるmix","ADVANCED","4","2","884","52","652","15","96","69","880","876","790","662","514","405","306","267","216","157","102","9347512","673923","9205480","9091961","9334990","9292706","9370987","9383054","9529919","9300300","9179292","9237626","9425891","9268509","9432154","9595959","9624018","9545454","9433621","9691804"
"Love♡Shine わんだふるmix","EXHAUST","4","3","2165","69","781","599","434","282","2161","2157","2060","1915","1720","1609","1471","1342","1000","662","393","9649935","514735","9351832","9238290","9490482","9560832","9687435","9722989","9765312","9386283","9587214","9629718","9628252","9718705","9748053","9767627","9842859","9894323","9742353","9879815"
"MAX 300 takamatt MIN REMIX","NOVICE","5","1","360","3","186","3","97","71","360","360","342","330","287","250","200","179","144","113","92","9624552","443621","9686940","9454383","9499425","9620080","9608653","9568873","9652527","9601747","9447746","9635687","9677996","9620304","9552951","9594999","9918123","9731663","9865831","9855309"
"MAX 300 takamatt MIN REMIX","ADVANCED","5","2","779","29","590","25","70","65","776","776","726","617","455","315","229","196","143","103","79","9371712","488314","9271760","9267168","9360958","9299542","9374558","9307521","9565789","9296237","9287297","9369018","9265578","9304622","9388652","9541268","9529943","9442631","9463755","9780872"
"MAX 300 takamatt MIN REMIX","EXHAUST","5","3","1862","154","507","362","479","360","1850","1846","1741","1630","1523","1455","1338","1233","995","712","489","9659021","610565","9249666","9321071","9501081","9603610","9663635","9638134","9859141","9411489","9511036","9647631","9652503","9594164","9733366","9854963","9797608","9863485","9813295","9975946"
"Broken 8cmix","NOVICE","6","1","978","35","714","7","117","105","978","967","886","775","579","449","340","303","236","176","134","9382680","559480","9407523","9363820","9425614","9433512","9284154","9363367","9441342","9372438","9420552","9305361","9404518","9326162","9274539","9494389","9502821","9735011","9267241","9520037"
"Broken 8cmix","ADVANCED","6","2","1827","299","1144","156","166","62","1823","1799","1472","1199","873","679","505","419","289","177","110","9199026","653790","9120500","8783902","9100782","9164286","9187469","9244111","9352041","9026015","9189559","9106667","9129146","9211847","9252703","9392216","9298368","9410487","9238943","9487944"
"Broken 8cmix","EXHAUST","6","3","4224","453","1110","1462","897","302","4214","4208","4186","4111","3966","3842","3602","3189","2159","1250","652","9804159","421885","9288826","9186888","9569073","9796474","9864624","9860759","9924228","9498412","9754293","9832855","9876455","9869218","9875256","9927737","9939566","9930181","9981188","9929388"
"Broken 8cmix","HEAVENLY","6","7","3940","227","1602","1970","114","27","3940","3939","3927","3901","3713","3296","2334","1535","869","327","119","9700785","228484","9476152","9041129","9229056","9542697","9747824","9815623","9903042","9216973","9464902","9642963","9728154","9782923","9837978","9893896","9912006","9931556","9951234","9971541"
"ふしぎなくすり いっきのみっくす","NOVICE","7","1","433","0","228","1","72","132","433","432","422","408","369","333","287","249","219","193","163","9717426","389586","9776602","9698707","9813746","9664981","9667013","9835135","9788680","9731804","9570980","9733021","9676762","9755639","9680535","9763246","9846414","9980159","9973545","9902508"
"ふしぎなくすり いっきのみっくす","ADVANCED","7","2","1005","20","675","13","207","90","1004","1004","966","903","766","627","473","413","305","225","144","9565691","441185","9519831","9498464","9493129","9527727","9589611","9483502","9665672","9517795","9458915","9552972","9593820","9511864","9576288","9645743","9706348","9819463","9935503","9694012"
"ふしぎなくすり いっきのみっくす","EXHAUST","7","3","2013","128","739","310","442","394","2013","2009","1892","1746","1564","1456","1333","1252","1053","809","603","9646970","494718","9255687","9182538","9458488","9556615","9692854","9692961","9824856","9355283","9536999","9626953","9636194","9689776","9759361","9823681","9851379","9844530","9951733","9900648"
"ヒマワリ MUZIK SERVANT Remix","NOVICE","8","1","459","3","250","3","69","134","458","456","445","438","420","383","333","291","230","205","172","9741710","500324","9818632","9555260","9762002","9634448","9739830","9825393","9838061","9754208","9720403","9564693","9735954","9791868","9751571","9856544","9832668","9857474","9806442","9893173"
"ヒマワリ MUZIK SERVANT Remix","ADVANCED","8","2","1332","279","806","28","127","92","1316","1313","1216","1069","794","627","482","414","301","217","151","9369145","672691","9098610","9257816","9298319","9316367","9446872","9403679","9519096","9143629","9245373","9375655","9384990","9467532","9379151","9516212","9536734","9683982","9677179","9728571"
"ヒマワリ MUZIK SERVANT Remix","EXHAUST","8","3","1810","51","477","244","428","610","1808","1799","1768","1711","1632","1541","1476","1405","1262","1064","827","9798901","464712","9611248","9560800","9740410","9709144","9812776","9810890","9910879","9643012","9731982","9802360","9754711","9849836","9837463","9868305","9857330","9883297","9965262","9952354"
"PULSE LASER","NOVICE","9","1","356","0","114","2","57","183","356","356","346","340","323","310","288","277","260","241","211","9821172","370490","9856537","9832834","9885229","9741099","9772047","9833458","9909998","9833048","9792985","9775627","9797170","9629578","9952595","9944988","9929372","9933882","9981703","9777112"
"PULSE LASER","ADVANCED","9","2","1084","143","702","44","119","76","1083","1076","994","877","685","528","397","350","261","178","118","9423942","508597","9298920","9350011","9353893","9343858","9484374","9410659","9603754","9270033","9314054","9437147","9457081","9481233","9392742","9548475","9657286","9608264","9545454","9633700"
"PULSE LASER","EXHAUST","9","3","2673","101","969","796","582","225","2672","2670","2573","2387","2122","1908","1630","1367","861","523","327","9624325","422777","9254964","9323469","9369163","9516220","9674072","9680447","9808633","9332331","9453064","9584236","9606003","9702802","9745061","9801579","9826574","9916142","9902538","9878997"
"PULSE LASER","INFINITE","9","5","2734","110","580","1444","370","230","2729","2729","2699","2636","2510","2401","2172","1877","1348","757","414","9774423","383445","9436424","9186708","9485244","9687229","9850093","9848020","9950209","9409380","9661083","9755481","9827867","9875253","9890826","9937889","9969762","9985444","9991292","9976585"
"バタフライキャット","NOVICE","10","1","410","2","164","4","108","132","410","408","405","397","381","357","322","301","267","235","192","9814476","359982","9728046","9427419","9753177","9772580","9831352","9847278","9902505","9739421","9771261","9770769","9791788","9830231","9875916","9900225","9993663","9904377","9971774","9866743"
"バタフライキャット","ADVANCED","10","2","1736","300","953","68","290","125","1726","1720","1600","1468","1264","1078","849","719","534","370","232","9499270","650287","9419852","9041313","9410448","9397826","9568872","9529697","9634659","9361209","9349273","9402343","9516829","9570095","9595113","9659470","9658429","9692959","9749807","9849270"
"バタフライキャット","EXHAUST","10","3","3487","53","940","1159","916","419","3484","3480","3449","3400","3308","3214","2996","2589","1725","1182","800","9815403","335442","9514302","9652859","9707997","9766836","9860473","9844674","9909046","9656594","9769484","9791629","9844099","9877429","9870176","9901625","9886563","9962738","9936985","9970118"
"バタフライキャット","INFINITE","10","5","3173","202","460","1815","467","229","3165","3162","3147","3122","3058","2920","2675","2399","1790","1062","560","9815358","435680","9526425","9419806","9618083","9791985","9837603","9921806","9940794","9564415","9772610","9838677","9795088","9918697","9917251","9937566","9846578","9981245","9856928","9954412"
"Ha･lle･lu･jah","NOVICE","11","1","705","4","423","5","147","126","704","702","674","631","567","501","400","337","282","236","176","9614625","484960","9665852","9528684","9557101","9583888","9558442","9667009","9773444","9606680","9618774","9510768","9485320","9631606","9638555","9766608","9754745","9798464","9865643","9814737"
"Ha･lle･lu･jah","ADVANCED","11","2","2164","231","1361","87","343","142","2156","2143","1882","1670","1411","1149","873","707","492","324","200","9385731","644257","9306449","9096249","9327060","9300365","9436553","9514301","9545449","9159016","9303948","9372331","9393077","9443997","9436820","9586442","9642913","9490814","9506126","9621348"
"Ha･lle･lu･jah","EXHAUST","11","3","4174","252","1106","1157","1392","267","4167","4167","4131","4076","3964","3810","3469","3069","2144","1262","590","9806270","416149","9397079","9503991","9653653","9760272","9849722","9908056","9920272","9590150","9718443","9812066","9849816","9888920","9901946","9938838","9718743","9920521","9975082","9970905"
"Ha･lle･lu･jah","INFINITE","11","5","3482","1","615","1561","942","363","3481","3481","3481","3465","3435","3362","3161","2856","2038","1280","770","9873692","192116","9622360","9597347","9755572","9847072","9903075","9916195","9940301","9707694","9819999","9879695","9896073","9917161","9921550","9934726","9958081","9971747","9984994","9962551"
"西日暮里の踊り","NOVICE","12","1","364","4","177","2","35","146","363","360","353","334","318","285","251","227","205","187","180","9711428","499982","9638223","9750499","9782622","9585397","9698874","9843471","9834220","9685122","9498320","9707885","9621091","9784577","9634321","9839844","9980947","9864714","9843645","9921407"
"西日暮里の踊り","ADVANCED","12","2","1246","169","672","46","147","212","1245","1242","1156","1082","961","851","717","630","489","384","298","9591977","508646","9491324","9659141","9408405","9537932","9633217","9619792","9662566","9496643","9543428","9564355","9638277","9605233","9517829","9647482","9778417","9825594","9810551","9857514"
"西日暮里の踊り","EXHAUST","12","3","3281","83","1347","867","208","776","3281","3279","3211","3126","2955","2811","2615","2309","1738","1358","1064","9781439","341904","9606564","9661974","9789583","9745590","9793078","9812114","9863313","9704621","9724526","9771668","9805729","9776450","9826632","9841447","9866007","9932404","9879283","9905920"
"西日暮里の踊り","INFINITE","12","5","3665","20","927","1343","696","679","3665","3665","3655","3642","3570","3435","3189","2930","2359","1748","1268","9868541","198964","9605562","9538258","9723478","9836599","9903441","9922696","9948496","9659998","9817077","9877843","9884155","9922234","9929525","9951453","9944073","9987786","9972579","9975786"
"ナナイロ","NOVICE","13","1","454","7","180","1","80","186","453","451","434","420","400","380","354","317","281","253","222","9738037","637598","9574304","9561450","9762625","9742610","9710810","9685109","9833701","9723007","9719061","9558555","9790123","9739550","9883721","9866023","9599926","9614148","9929260","9931908"
"ナナイロ","ADVANCED","13","2","1284","197","700","30","246","111","1272","1265","1131","1007","830","694","563","481","386","268","174","9393258","771800","9093674","9073001","9325474","9355423","9457855","9275524","9573217","9217201","9370585","9377837","9412765","9441028","9346085","9573909","9546478","9565973","9852523","9630605"
"ナナイロ","EXHAUST","13","3","2830","348","415","195","1174","698","2819","2818","2791","2732","2677","2613","2527","2441","2226","1734","1215","9848378","571211","9552513","9528650","9779409","9813208","9883501","9867047","9933156","9684582","9785585","9851148","9905187","9854215","9890713","9939316","9923075","9942681","9958988","9730556"
"ナナイロ","INFINITE","13","5","2525","113","507","610","836","459","2511","2509","2504","2471","2375","2275","2141","2032","1763","1403","950","9826679","520355","9508107","9498901","9734136","9786783","9857884","9880627","9879242","9648603","9736654","9856402","9832090","9912708","9832057","9878199","9909919","9992293","9981115","9950133"
"とある少年の一日","NOVICE","14","1","313","4","137","1","77","94","309","306","285","267","244","221","192","181","152","129","108","9560410","749768","9518080","9237978","9715106","9650409","9342948","9659632","9679532","9573843","9793239","9486802","9218368","9550297","9615322","9545118","9845521","9908313","9902200","9655544"
"とある少年の一日","ADVANCED","14","2","813","74","521","3","160","55","804","778","594","491","400","321","252","205","143","101","76","9106106","869438","9015979","9058324","9111683","9099710","9110204","9062050","9237047","9050542","9167858","8976983","8913186","9232721","9072431","9282848","9332819","9096672","9422212","9511241"
"とある少年の一日","EXHAUST","14","3","1937","65","619","267","693","293","1936","1925","1773","1639","1524","1420","1303","1174","897","641","433","9610351","555312","9463419","8974045","9426219","9508980","9632219","9705630","9781335","9314388","9486680","9566959","9565462","9703547","9734955","9810387","9719755","9778292","9987790","9909508"
"SurVALI","NOVICE","15","1","277","7","109","3","60","98","277","277","265","253","238","231","212","197","174","144","124","9745493","455089","9502234","9971591","9831731","9707939","9766105","9666375","9782064","9729525","9755244","9679950","9777462","9603629","9820407","9743007","9915501","9874708","9976689","9812063"
"SurVALI","ADVANCED","15","2","859","168","505","3","114","69","853","844","750","643","499","388","279","231","165","127","90","9311086","741444","9210875","8907502","9218161","9216520","9404450","9408733","9523267","9051541","9233740","9254609","9359779","9344163","9403369","9628245","9627329","9357086","9811094","9789355"
"SurVALI","EXHAUST","15","3","1561","39","503","196","365","458","1559","1557","1524","1452","1331","1248","1166","1121","1019","828","646","9753813","441317","9412171","9422665","9687080","9695525","9743311","9761665","9882850","9570258","9622562","9744258","9710695","9736477","9838093","9874983","9946887","9912964","9955878","9910183"
